1.5814	64799
4.978	58481
9.961	67383
14.155	67979
20.033	67820
25.122	59316
39.334	69171
50.262	66827
59.481	69330
65.372	67065
78.793	68933
84.671	68655
89.703	69649
94.786	61979
100.13	71722
105.7	61729
110.24	69810
120.37	64597
130.47	64901
135.03	69333
145.14	67117
150.65	67030
159.38	73360
164.42	64174
170.35	70392
176.33	68131
179.29	72418
185.26	73313
190.26	68555
195.23	69121
201.21	68508
206.22	63138
215.14	69545
221.11	68179
225.09	68838
236.05	67190
240.05	63139
246	67755
261.71	45341
266.56	66584
271.57	63870
286.54	61215
301.48	64342
310.25	58855
316.54	48823
319.66	58798
324.58	59060
334.45	55710
339.41	49533
344.9	58274
354.77	54923
360.3	55448
365.24	53816
370.14	57167
375.08	54457
380.62	54020
384.95	51398
390.48	51981
400.95	50990
404.65	50058
410.19	51165
415.12	49563
420.03	51719
429.9	47902
435.44	48106
439.73	50670
460.07	46504
469.9	49360
475.51	38725
484.73	39862
489.61	47495
495.15	48136
500.69	47495
505.62	47466
510.53	49739
514.85	47874
520.39	47670
525.3	48836
534.55	46884
540.09	47205
545.63	46185
549.31	48603
560.39	48021
565.33	46768
569.67	41640
580.08	49303
585.02	47788
595.47	48779
605.31	51488
614.56	48691
620.71	49770
626.25	48662
630.54	51460
635.47	51139
640.44	43010
645.3	53383
650.23	52654
655.15	53121
660.74	46245
665.62	52188
677.92	55131
689.6	57171
700.69	56093
704.36	58453
709.9	58628
715.71	43259
719.6	58256
725.35	59151
730.29	57283
734.39	60361
745.39	59716
750.14	54362
755.33	60981
760.09	53593
764.75	63162
769.48	60733
774.7	62518
779.97	57932
785.16	65369
789.88	64129
795.1	67278
800.34	66856
809.76	67922
815.05	59618
830.19	66931
834.95	58329
839.62	65592
845.4	63337
854.55	70610
865.6	70250
869.74	71590
880.1	69793
890.06	72566
894.71	65759
900.2	72348
905.07	71486
914.29	73758
920.47	70495
924.76	73117
930.31	71748
934.6	74749
940.16	71661
945.07	73438
949.4	70554
955.56	69971
959.23	73730
964.76	74254
969.7	72827
975.22	74925
980.16	72011
984.46	74342
989.38	74954
995.55	72914
1005.2	77356
1009.7	73070
1015.9	72773
1020.1	75475
1025.4	73740
1030.1	66675
1034.8	75549
1040	73913
1045.3	73244
1050	75376
1064.7	64915
1069.9	71955
1075.7	69749
1079.3	73517
1085.6	73046
1094.5	70642
1104.5	69824
1110.2	70741
1115.5	64048
1124.9	74162
1130.1	74856
1134.8	71188
1140.1	75030
1145.3	71312
1150	74460
1155.3	72650
1160	75129
1170.4	70990
1175.1	74014
1179.9	72775
1184.1	73370
1189.3	72106
1195	73816
1200.3	72825
1204.5	73742
1210.2	72255
1214.9	75254
1224.9	71809
1230.2	57307
1234.9	72899
1250	71586
1255.3	72181
1265.3	62612
1270	70272
1275.7	69578
1280.6	59236
1285.5	69237
1295.4	65419
1299.6	55855
1305.1	63760
1310.1	63838
1320.5	61856
1339.8	60421
1345.4	53508
1350.3	59665
1355.3	57995
1360.2	58674
1365.8	58074
1375.1	59639
1380.1	59196
1390	61257
1395.5	61283
1399.9	58570
1405.4	59561
1420.9	58179
1425.9	51683
1429.7	58231
1435.2	58492
1439.6	58205
